Concelho,Long,Lat,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020
Braga,-8.4249161110272,41.5477943542993,21,25,98,131,152,208,213,220,245,280,305,333,349,358,407,423,521,546,579,621,647,647,692,775,798
Bragança,-6.75635762077957,41.7936664682478,4,4,19,20,25,38,44,48,49,52,53,52,64,65,71,71,76,75,82,84,85,86,87,88,89
Cabeceiras De Basto,-7.98277703145739,41.5133405764244,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,5,4,6,7,8,8,10,11,10,10
Cadaval,-9.07567316854643,39.236748000162,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,4,4,4
Caldas Da Rainha,-9.10964618039746,39.4113658862105,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,4,4,6,7,7,7,7,7,8
Caminha,-8.82989977786659,41.8456362273372,0,0,3,3,3,0,3,3,3,3,4,6,7,7,8,8,8,9,9,9,9,10,11,11,12
Campo Maior,-7.04522993206999,39.0219655234182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cantanhede,-8.61941425308197,40.3555907929715,0,0,4,4,7,8,8,11,15,18,19,22,22,22,22,24,26,28,28,28,27,31,34,38,38
Carrazeda De Ansiães,-7.30949166956808,41.2361627026426,0,0,0,0,3,0,3,3,3,3,3,3,3,3,4,4,0,5,5,5,5,5,5,5,5
Carregal Do Sal,-7.98848241556483,40.4485122113539,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,6,6,7,7,7,7,7,7,10
Cartaxo,-8.8060170821915,39.1575668273434,4,4,4,4,13,11,13,9,0,9,9,10,12,14,15,16,18,18,18,18,18,19,20,20,20
Cascais,-9.384892749959,38.7170791488001,39,43,44,44,81,110,119,133,134,149,174,187,190,197,203,218,226,238,251,261,264,269,273,275,280
Castanheira De Pêra,-8.19580753712858,40.0199488248237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castelo Branco,-7.48528677663939,39.8522001854271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
Castelo De Paiva,-8.29107689874854,41.0330689619004,0,0,0,0,0,0,0,0,0,0,3,3,4,5,5,5,5,7,7,7,7,8,8,8,8
Castelo De Vide,-7.4771250616696,39.4586667254724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castro Daire,-7.92780792552005,40.906204099586,0,0,0,0,0,0,22,0,4,5,5,6,8,8,8,18,59,64,81,91,91,91,99,99,100
Castro Marim,-7.49753993094982,37.2342434410708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
Castro Verde,-8.05607500814191,37.7030904306416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Celorico Da Beira,-7.39027101978309,40.6261164801053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,7,7,7,7,7,7,8
Celorico De Basto,-8.03654206488868,41.4023149695344,0,0,0,0,0,0,0,0,3,3,3,4,6,6,7,7,8,8,8,9,9,9,9,11,12
Chamusca,-8.41042161570301,39.3316775516213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4
Chaves,-7.46857531708126,41.737617962008,3,3,3,3,10,11,12,10,11,11,11,13,16,16,16,16,15,19,19,19,19,20,20,20,21
Cinfães,-8.14243668142553,41.0523587169427,0,0,0,0,0,0,5,3,4,4,4,3,3,3,4,4,5,6,6,7,7,8,8,8,8
Coimbra,-8.43210562688649,40.214886933156,34,41,87,109,110,199,229,157,164,178,201,216,216,222,233,237,258,266,265,269,275,293,302,325,345
Condeixa-A-Nova,-8.49863253106619,40.1071273793297,3,3,4,5,6,13,15,19,20,24,28,29,29,29,36,36,38,38,40,41,41,43,45,49,53
Constância,-8.29816983548406,39.4484961907454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coruche,-8.48269529864577,38.9492195470617,4,4,4,4,4,0,5,7,7,7,7,9,9,10,10,11,16,16,16,16,16,18,21,22,22
Covilhã,-7.51383588155078,40.2691514820055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,5,5,5,5,5,5
Crato,-7.6422800758696,39.3208667107704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,-7.90392808300444,38.1856839617986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elvas,-7.18451530045712,38.8739815423346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4
Entroncamento,-8.4783204033188,39.4637316945178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Espinho,-8.62784057883435,41.0009735281184,8,9,13,17,18,27,29,25,26,27,28,28,31,37,37,37,39,39,42,42,45,45,45,51,52
Esposende,-8.76311068167855,41.5439009107406,0,0,5,5,7,8,8,10,10,11,11,14,14,14,16,16,21,26,26,27,28,28,26,31,31
Estarreja,-8.57917624308372,40.7689266890988,0,0,6,9,15,16,23,20,26,31,33,34,36,36,37,39,39,42,44,44,46,48,48,48,48
Estremoz,-7.58339333548252,38.8529275333639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Évora,-7.89428922730853,38.5770704407232,4,5,8,8,12,20,21,15,15,15,15,15,15,15,15,17,21,21,21,21,21,21,21,20,20
