CONCELHO,Lng Ponderado,Lat Ponderado,Pop,Area Ha,H,M,0-4,5-9,10-13,14-19,20-24,25-64,>=65
Santana,-16.9017204191646,32.7878161079854,7719,9547,41,3530,4189,264,343,315,510,414,4047,1826
SANTARÉM,-8.71193710167111,39.2879521833834,61752,55253,59,29234,32518,2747,2997,2503,3537,3078,32901,13989
SANTIAGO DO CACÉM,-8.65618380443116,37.9955108726037,29749,105969,29,14586,15163,1201,1206,998,1494,1449,16365,7036
SANTO TIRSO,-8.40758849217354,41.3387058221462,71530,13660,03,34334,37196,2661,3291,3124,4760,4168,41194,12332
SÃO BRÁS DE ALPORTEL,-7.87864220690078,37.1956837928743,10662,15336,92,5232,5430,493,510,431,602,500,5743,2383
SÃO JOÃO DA MADEIRA,-8.49036540105296,40.8956315082288,21713,794,3,10222,11491,920,1058,920,1448,1294,12498,3575
SÃO JOÃO DA PESQUEIRA,-7.43972066851331,41.1255375546446,7874,26610,84,3883,3991,295,341,351,545,463,4062,1817
SÃO PEDRO DO SUL,-8.08301772996099,40.7851055465691,16851,34895,09,7891,8960,582,751,657,1070,880,8463,4448
SÃO ROQUE DO PICO,-28.3100497091497,38.4931952737527,3388,14236,1,1666,1722,136,159,116,245,240,1832,660
São Vicente,-17.0134772574079,32.7893804752036,5723,7883,79,2668,3055,213,273,247,393,341,2958,1298
SARDOAL,-8.14468684881541,39.5505032709963,3939,9214,73,1916,2023,124,160,150,230,208,1994,1073
SÁTÃO,-7.70559905372536,40.753826758461,12444,20194,1,5905,6539,469,553,551,840,674,6293,3064
SEIA,-7.71608045874686,40.4055597578283,24702,43568,83,11756,12946,804,913,827,1421,1270,12989,6478
SEIXAL,-9.119275121279,38.6111675152815,158269,9545,17,75916,82353,8514,8469,7108,10062,8823,90860,24433
SERNANCELHE,-7.50337625185547,40.9135218690338,5671,22861,23,2747,2924,187,235,228,387,299,2812,1523
SERPA,-7.49028378669943,37.9368655385317,15623,110563,34,7632,7991,557,662,572,995,814,7986,4037
SERTÃ,-8.11606480117064,39.8239136061586,15880,44673,16,7546,8334,543,693,600,989,774,7880,4401
SESIMBRA,-9.0902065360845,38.5180893356729,49500,19571,75,24317,25183,2836,2950,2307,3017,2547,28092,7751
SETÚBAL,-8.89865980320281,38.5223633826495,121185,23032,51,57986,63199,6349,6504,5487,7314,6410,67215,21906
SEVER DO VOUGA,-8.36201023459004,40.7309275950373,12356,12987,56,5962,6394,428,563,523,779,679,6508,2876
SILVES,-8.35026380286265,37.2085715107966,37126,68006,24,18525,18601,1664,1738,1385,2085,1756,20155,8343
SINES,-8.7817596958181,37.942673087484,14238,20330,17,7029,7209,694,689,557,903,812,8079,2504
SINTRA,-9.31396790249558,38.7874325331928,377835,31922,71,180705,197130,20792,22294,19092,26795,21551,215654,51657
SOBRAL DE MONTE AGRAÇO,-9.16702830621241,38.9962010177658,10156,5210,32,5003,5153,545,573,460,619,492,5644,1823
SOURE,-8.62630002226034,40.0821995205077,19245,26506,07,9166,10079,662,751,675,998,843,9930,5386
SOUSEL,-7.7284863856593,38.9636432452782,5074,27932,19,2376,2698,192,209,179,294,228,2390,1582
TÁBUA,-8.00646706086137,40.3479743993231,12071,19978,59,5743,6328,446,587,496,752,615,6113,3062
TABUAÇO,-7.56893488274943,41.1001002857424,6350,13385,68,3049,3301,214,260,252,406,378,3322,1518
TAROUCA,-7.76324422846817,41.0223351311115,8048,10008,49,3900,4148,366,411,407,562,454,4292,1556
TAVIRA,-7.67963073601268,37.1789430906571,26167,60696,7,12814,13353,1121,1203,945,1365,1269,14032,6232
TERRAS DE BOURO,-8.23743162570319,41.7143006050919,7253,27746,07,3478,3775,250,341,278,497,416,3692,1779
TOMAR,-8.39559566145939,39.5936869285904,40677,35120,45,19271,21406,1470,1748,1619,2559,2135,20852,10294
TONDELA,-8.09338592002074,40.5376020655809,28946,37121,7,13730,15216,930,1137,1106,1760,1489,14648,7876
TORRE DE MONCORVO,-7.03557936184351,41.1825955992741,8572,53155,68,4106,4466,209,241,244,427,400,4106,2945
TORRES NOVAS,-8.54206640277369,39.490710862096,36717,26999,68,17511,19206,1576,1679,1469,2059,1806,19370,8758
TORRES VEDRAS,-9.25050567080782,39.1003280769644,79465,40714,89,38368,41097,3651,4214,3453,5019,4140,43450,15538
TRANCOSO,-7.33633580630122,40.7823348599916,9878,36152,47,4686,5192,315,363,337,598,517,4779,2969
TROFA,-8.5687934334543,41.313598094248,38999,7201,75,18813,20186,1736,2055,1812,2879,2581,22720,5216
VAGOS,-8.68352695138193,40.5150833898575,22851,16491,51,10984,11867,1070,1111,979,1582,1376,12251,4482
VALE DE CAMBRA,-8.3710413574998,40.8432647560692,22864,14733,47,11079,11785,831,1005,838,1485,1255,12621,4829
VALENÇA,-8.62463174652318,42.0052988653559,14127,11712,87,6619,7508,554,620,532,859,751,7614,3197
VALONGO,-8.51856946943489,41.211591945384,93858,7512,44,45016,48842,4929,5217,4369,6187,5317,55353,12486
VALPAÇOS,-7.33866231594615,41.6111467467345,16882,54873,92,7975,8907,467,571,537,923,794,8214,5376
VELAS,-28.169166039414,38.6872647384611,5398,11738,37,2689,2709,243,239,238,374,345,2965,994
VENDAS NOVAS,-8.48506812113438,38.6742033112923,11846,22238,88,5705,6141,517,585,469,650,510,6141,2974
VIANA DO ALENTEJO,-8.06237945481882,38.3695297273791,5743,39367,28,2780,2963,245,293,237,305,325,2871,1467
VIANA DO CASTELO,-8.77849445989194,41.6955050352278,88725,31902,01,41889,46836,3711,4187,3679,5653,4839,49321,17335
VIDIGUEIRA,-7.75844697847108,38.1987689146451,5932,31661,08,2917,3015,261,268,237,375,373,2963,1455
VIEIRA DO MINHO,-8.12775536593558,41.6266246339374,13001,21644,36,6255,6746,462,594,582,910,779,6709,2965
VILA DE REI,-8.14489442923381,39.6823002829969,3452,19154,59,1582,1870,88,127,118,153,144,1449,1373
VILA DO BISPO,-8.88840300667409,37.0760670185079,5258,17906,07,2624,2634,177,234,151,306,232,2853,1305
VILA DO CONDE,-8.71019390779994,41.3383145781161,79533,14902,78,38469,41064,4010,4341,3668,5436,4558,45823,11697
VILA DO PORTO,-25.1262266887977,36.9733757945708,5552,9688,75,2682,2870,309,300,286,463,368,3110,716
VILA FLOR,-7.15468758196758,41.3062333777452,6697,26581,15,3212,3485,184,249,233,371,310,3421,1929
VILA FRANCA DE XIRA,-9.03996937910262,38.8999793127471,136886,31819,41,65808,71078,8027,7969,6073,8405,7230,80689,18493
VILA FRANCA DO CAMPO,-25.4197975608784,37.7403545360932,11229,7796,82,5585,5644,658,688,663,1083,871,5957,1309
VILA NOVA DA BARQUINHA,-8.41281291843188,39.4771492472756,7322,4952,97,3555,3767,309,326,317,390,335,3823,1822
VILA NOVA DE CERVEIRA,-8.71547471732063,41.9368757929192,9253,10846,66,4419,4834,403,411,322,567,462,4911,2177
VILA NOVA DE FAMALICÃO,-8.49062967793035,41.4056001109784,133832,20159,26,64849,68983,6216,7207,6593,9801,7812,77759,18444
VILA NOVA DE FOZ CÔA,-7.18013100804082,41.0750421214918,7312,39815,17,3458,3854,211,253,249,402,353,3568,2276
VILA NOVA DE GAIA,-8.60315514665919,41.0926104977352,302298,16846,43,144490,157808,14423,15508,13482,19406,16368,176453,46658
VILA NOVA DE PAIVA,-7.76334799804725,40.867689593443,5176,17553,29,2463,2713,188,248,212,363,305,2490,1370
VILA NOVA DE POIARES,-8.2569989633979,40.211591386937,7281,8445,3,3485,3796,320,338,337,454,384,3964,1484
VILA POUCA DE AGUIAR,-7.62146823184321,41.5104241602068,13187,43706,6,6362,6825,384,503,517,825,653,6844,3461
VILA REAL,-7.73856609355405,41.3053283808624,51850,37880,28,24670,27180,2272,2646,2212,3382,2841,29156,9341
VILA REAL DE SANTO ANTÓNIO,-7.45359491707658,37.1892350759188,19156,6125,9153,10003,1005,1020,778,1190,1012,10380,3771
VILA VELHA DE RÓDÃO,-7.66666776853024,39.6857036498421,3521,32991,16,1644,1877,85,79,81,104,118,1519,1535
VILA VERDE,-8.45593917114561,41.6529375552289,47888,22866,52,22945,24943,2302,2745,2363,3675,2907,25595,8301
VILA VIÇOSA,-7.40129800926171,38.7616975497156,8319,19485,89,4057,4262,298,356,310,496,430,4478,1951
VIMIOSO,-6.54325493407125,41.5810699021013,4669,48158,52,2283,2386,113,130,119,210,195,2091,1811
VINHAIS,-7.04768630965132,41.8174791654935,9066,69475,08,4485,4581,186,212,235,391,378,4244,3420
VISEU,-7.90949790200889,40.6667217316617,99274,50710,14,46915,52359,4570,5078,4403,6528,5477,54730,18488
VIZELA,-8.2858247897114,41.3736512001775,23736,2469,82,11653,12083,1086,1277,1301,1925,1647,13779,2721
VOUZELA,-8.12330714807307,40.6877634950808,10564,19369,45,5031,5533,323,441,447,666,585,5260,2842
