CONCELHO,Lng Ponderado,Lat Ponderado,Pop,Area Ha,H,M,0-4,5-9,10-13,14-19,20-24,25-64,>=65
CADAVAL,-9.07567316854643,39.236748000162,14228,17489,29,6871,7357,640,688,555,756,637,7310,3642
CALDAS DA RAINHA,-9.10964618039746,39.4113658862105,51729,25569,45,24505,27224,2241,2523,2213,3305,2750,27877,10820
Calheta,-17.1669862550541,32.7552077913728,11521,11150,55,5211,6310,501,574,515,761,633,5957,2580
CALHETA DE SÃO JORGE,-27.9252740133148,38.5957516047657,3773,12626,39,1876,1897,169,206,145,247,241,2012,753
Câmara de Lobos,-16.9831552804473,32.6720668298251,35666,5216,74,17221,18445,2126,2481,2304,3468,2703,18987,3597
CAMINHA,-8.82989977786659,41.8456362273372,16684,13652,14,7737,8947,600,668,604,1032,947,8887,3946
CAMPO MAIOR,-7.04522993206999,39.0219655234182,8456,24720,16,4098,4358,419,450,366,526,482,4381,1832
CANTANHEDE,-8.61941425308197,40.3555907929715,36595,39088,02,17394,19201,1445,1528,1407,2070,1790,19259,9096
CARRAZEDA DE ANSIÃES,-7.30949166956808,41.2361627026426,6373,27924,09,3066,3307,174,220,192,333,317,3101,2036
CARREGAL DO SAL,-7.98848241556483,40.4485122113539,9835,11689,22,4664,5171,391,462,397,641,505,4924,2515
CARTAXO,-8.8060170821915,39.1575668273434,24462,15817,28,11844,12618,1067,1256,1015,1431,1222,13378,5093
CASCAIS,-9.384892749959,38.7170791488001,206479,9740,17,96866,109613,10608,10936,8933,12959,10946,115383,36714
CASTANHEIRA DE PÊRA,-8.19580753712858,40.0199488248237,3191,6677,45,1520,1671,95,106,106,173,151,1560,1000
CASTELO BRANCO,-7.48528677663939,39.8522001854271,56109,143819,16,26661,29448,2246,2340,2013,3111,2821,30222,13356
CASTELO DE PAIVA,-8.29107689874854,41.0330689619004,16733,11500,53,8184,8549,748,910,839,1270,1039,9337,2590
CASTELO DE VIDE,-7.4771250616696,39.4586667254724,3407,26491,24,1629,1778,78,122,120,179,154,1625,1129
CASTRO DAIRE,-7.92780792552005,40.906204099586,15339,37904,13,7370,7969,551,681,643,1066,724,7508,4166
CASTRO MARIM,-7.49753993094982,37.2342434410708,6747,30084,37,3355,3392,252,268,255,386,321,3462,1803
CASTRO VERDE,-8.05607500814191,37.7030904306416,7276,56944,22,3567,3709,266,336,274,460,372,3800,1768
CELORICO DA BEIRA,-7.39027101978309,40.6261164801053,7693,24721,65,3611,4082,260,334,277,430,366,3758,2268
CELORICO DE BASTO,-8.03654206488868,41.4023149695344,20098,18107,04,9749,10349,886,972,990,1464,1331,10632,3823
CHAMUSCA,-8.41042161570301,39.3316775516213,10120,74600,54,4878,5242,374,407,325,505,508,5287,2714
CHAVES,-7.46857531708126,41.737617962008,41243,59122,96,19738,21505,1393,1774,1489,2464,2163,21863,10097
CINFÃES,-8.14243668142553,41.0523587169427,20427,23928,76,9932,10495,804,1079,918,1478,1178,10744,4226
COIMBRA,-8.43210562688649,40.214886933156,143396,31939,93,66941,76455,5423,5804,5279,8526,7792,81786,28786
CONDEIXA-A-NOVA,-8.49863253106619,40.1071273793297,17078,13867,48,8001,9077,897,919,750,908,756,9602,3246
CONSTÂNCIA,-8.29816983548406,39.4484961907454,4056,8036,58,1946,2110,188,228,172,234,161,2204,869
CORUCHE,-8.48269529864577,38.9492195470617,19944,111572,02,9523,10421,666,847,699,1009,851,10007,5865
CORVO,-31.1058534547155,39.6999259197931,430,1711,45,240,190,24,21,13,22,15,264,71
COVILHÃ,-7.51383588155078,40.2691514820055,51797,55560,05,24725,27072,1925,2114,1843,2842,2658,28166,12249
CRATO,-7.6422800758696,39.3208667107704,3708,39806,89,1725,1983,96,116,114,150,141,1788,1303
CUBA,-7.90392808300444,38.1856839617986,4878,17208,72,2384,2494,203,223,177,275,289,2467,1244
ELVAS,-7.18451530045712,38.8739815423346,23078,63128,86,11092,11986,1137,1170,1016,1499,1371,11782,5103
ENTRONCAMENTO,-8.4783204033188,39.4637316945178,20206,1372,81,9629,10577,1066,1112,849,1246,1051,11228,3654
ESPINHO,-8.62784057883435,41.0009735281184,31786,2105,67,15112,16674,1089,1333,1282,2047,1698,17783,6554
ESPOSENDE,-8.76311068167855,41.5439009107406,34254,9540,99,16278,17976,1643,1902,1658,2591,2126,19285,5049
ESTARREJA,-8.57917624308372,40.7689266890988,26997,10817,33,13012,13985,1158,1316,1139,1856,1539,14587,5402
ESTREMOZ,-7.58339333548252,38.8529275333639,14318,51379,95,6813,7505,489,553,483,833,734,7144,4082
ÉVORA,-7.89428922730853,38.5770704407232,56596,130707,58,26831,29765,2548,2702,2319,3409,3065,31386,11167
FAFE,-8.17051895080635,41.4562371198924,50633,21908,1,23946,26687,2142,2616,2430,3691,3077,28236,8441
FARO,-7.91697791732242,37.0255175301254,65019,20256,78,31176,33843,3132,3157,2567,3692,3365,37357,11749
FELGUEIRAS,-8.2011430735212,41.3496471937077,58065,11573,76,28103,29962,2677,3237,3228,4998,4040,32533,7352
FERREIRA DO ALENTEJO,-8.18192098909998,38.0711611106282,8255,64820,68,4021,4234,330,330,284,421,424,4256,2210
FERREIRA DO ZÊZERE,-8.30843598719327,39.7189222042736,8619,19038,03,4098,4521,331,347,331,503,437,4172,2498
FIGUEIRA DA FOZ,-8.82898004494887,40.1591466928123,62125,37905,26,29375,32750,2374,2764,2363,3426,2994,34035,14169
FIGUEIRA DE CASTELO RODRIGO,-6.95744930076894,40.895632225123,6260,50857,46,2996,3264,201,220,204,314,323,2955,2043
FIGUEIRÓ DOS VINHOS,-8.28239253620145,39.8926647292044,6169,17343,99,2892,3277,187,213,199,335,315,3095,1825
FORNOS DE ALGODRES,-7.51636997344878,40.6362251368466,4989,13145,03,2353,2636,146,190,164,288,265,2344,1592
FREIXO DE ESPADA À CINTA,-6.82563500825098,41.1101127082177,3780,24414,29,1820,1960,133,145,116,197,162,1715,1312
FRONTEIRA,-7.63135965122413,39.0808419938576,3410,24859,59,1627,1783,127,150,136,177,171,1689,960
Funchal,-16.9238397828513,32.6680460963102,111892,7616,31,52073,59819,4733,5523,4903,7721,6841,64265,17906
FUNDÃO,-7.4877764438633,40.1358409683218,29213,70019,81,14006,15207,985,1167,1011,1678,1499,14780,8093
GAVIÃO,-7.90315653456308,39.4395436180512,4132,29459,45,1951,2181,103,122,107,183,147,1785,1685
GÓIS,-8.11478990174545,40.1280410182915,4260,26330,18,2003,2257,120,156,161,197,187,1989,1450
GOLEGÃ,-8.49931093978011,39.3911828346304,5913,8431,66,2773,3140,199,284,246,321,306,3005,1552
GONDOMAR,-8.5295916902384,41.1513219028786,168027,13186,31,81007,87020,7642,8652,7729,11139,9439,98256,25170
GOUVEIA,-7.58558702219575,40.5164892671021,14046,30061,16,6500,7546,426,456,500,740,688,6697,4539
GRÂNDOLA,-8.59718112875265,38.1984281717642,14826,82593,67,7506,7320,574,641,496,719,711,7897,3788
GUARDA,-7.25307415077954,40.5311841268428,42541,71209,57,20319,22222,1669,2000,1730,2636,2207,23426,8873
GUIMARÃES,-8.32047940153626,41.4456400651577,158088,24095,45,76749,81339,6984,8032,7725,11898,10024,91861,21564
HORTA,-28.6658672192179,38.555221443666,14994,17305,53,7320,7674,731,793,695,1027,886,8578,2284
IDANHA-A-NOVA,-7.15009195978857,39.9215325625142,9716,141633,51,4621,5095,254,281,251,368,358,4035,4169
ÍLHAVO,-8.70243610643998,40.6133702545003,38598,7347,56,18407,20191,1856,1925,1740,2571,2125,21977,6404
LAGOA,-15.0471869557229,37.3638186627106,37417,13384,78,18466,18951,2031,2231,1945,2741,2345,20593,5531
LAGOS,-8.71736325547582,37.136059941478,8954,18383,84,4409,4545,389,406,407,508,412,4763,2069
LAGOS (FARO),-8.68697191233897,37.1128198899817,22095,2915,44,10681,11414,1133,1200,1004,1431,1179,12292,3856
LAJES DAS FLORES,-31.207193518097,39.4088516888587,1504,7004,79,780,724,69,70,62,101,75,844,283
LAJES DO PICO,-28.1941021274383,38.4281514918381,4711,15531,08,2327,2384,183,206,189,291,283,2524,1035
LAMEGO,-7.80999283188933,41.0944049046722,26691,16542,1,12713,13978,957,1246,1205,1817,1519,14546,5401
LEIRIA,-8.80479780063398,39.761282033908,126884,56508,86,61310,65574,5843,6463,5641,8444,7481,70978,22034
LISBOA,-9.15155278887784,38.7399220090321,552644,10005,41,253140,299501,23952,23614,19113,29172,29258,295450,132082
