Concelho;Long;Lat;3/24/20;3/25/20;3/26/20;3/27/20;3/28/20;3/29/20;3/30/20;3/31/20;4/1/20;4/2/20;4/3/20;4/4/20;4/5/20;4/6/20;4/7/20;4/8/20;4/9/20;4/10/20;4/11/20;4/12/20;4/13/20
Macedo De Cavaleiros;-6,942598159;41,54022291;0;0;3;4;4;0;7;7;7;8;8;8;10;10;13;13;16;17;17;18;18
Mafra;-9,312040382;38,95474579;7;8;8;8;24;27;31;34;35;37;37;39;42;42;45;46;49;53;52;53;55
Maia;-8,604682073;41,23121277;104;119;157;171;219;296;313;293;328;361;390;404;422;444;465;485;512;543;565;588;600
Mangualde;-7,747131941;40,59911057;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;12;34;35;50
Manteigas;-7,527995944;40,39629083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Marco De Canaveses;-8,173966235;41,15122568;3;4;0;0;9;15;18;17;20;21;24;26;27;28;30;30;39;42;43;45;45
Marinha Grande;-8,953492405;39,77890523;0;0;6;6;7;7;7;7;8;9;9;9;10;10;11;11;11;10;10;12;12
MarvAo;-7,361286092;39,39547443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Matosinhos;-8,662825379;41,20333899;54;56;81;107;189;254;295;273;303;347;368;386;395;400;416;425;444;619;643;682;715
Mealhada;-8,442823715;40,36010133;0;0;0;0;0;0;5;3;5;5;7;7;8;8;10;10;10;11;11;12;13
Meda;-7,254217892;40,90475608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Melgaco;-8,247841335;42,08755017;0;0;0;0;0;0;4;4;5;5;7;7;7;8;9;12;14;14;14;14;14
MErtola;-7,680313677;37,66663206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MesAo Frio;-7,876284629;41,16307514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mira;-8,750219043;40,42944088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Miranda Do Corvo;-8,328316393;40,11068239;0;0;0;0;0;3;4;3;5;6;6;6;6;6;7;7;8;8;8;8;8
Miranda Do Douro;-6,350862829;41,49262541;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;4;4;4
Mirandela;-7,180593053;41,49857155;3;3;5;6;8;10;10;11;11;11;11;12;14;14;14;15;13;15;17;17;17
Mogadouro;-6,683208575;41,32766075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Moimenta Da Beira;-7,629940725;40,97426316;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;5;7;8;8;8
Moita;-9,014898207;38,65111871;4;5;5;5;10;12;12;22;29;29;29;30;31;32;35;38;40;51;51;51;52
MoncAo;-8,445769063;42,04574716;0;0;0;0;3;3;3;5;5;5;5;6;6;6;7;9;11;11;11;11;20
Monchique;-8,583865292;37,32430011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mondim De Basto;-7,920011501;41,4042734;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monforte;-7,436106049;39,04713982;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Montalegre;-7,838264513;41,77068379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Montemor-O-Novo;-8,247248781;38,66425606;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Montemor-O-Velho;-8,648878749;40,21371388;0;0;0;8;8;10;12;12;13;13;14;14;14;14;14;14;14;14;14;14;14
Montijo;-8,946062891;38,70259327;5;4;4;4;9;11;11;14;19;21;22;22;23;24;26;26;27;37;38;40;40
Mora;-8,119738635;38,94029903;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
